"SERVICE REQUEST TYPE","SERVICE REQUEST NUMBER","DATE SERVICE REQUEST WAS RECEIVED","LOCATION OF BUILDING ON THE LOT (IF GARAGE, CHANGE TYPE CODE TO BGD).","IS THE BUILDING DANGEROUS OR HAZARDOUS?","IS BUILDING OPEN OR BOARDED?","IF THE BUILDING IS OPEN, WHERE IS THE ENTRY POINT?","IS THE BUILDING CURRENTLY VACANT OR OCCUPIED?","IS THE BUILDING VACANT DUE TO FIRE?","ANY PEOPLE USING PROPERTY? (HOMELESS, CHILDEN, GANGS)","ADDRESS STREET NUMBER","ADDRESS STREET DIRECTION","ADDRESS STREET NAME","ADDRESS STREET SUFFIX","ZIP CODE","X COORDINATE","Y COORDINATE","Ward","Police District","Community Area","LATITUDE","LONGITUDE","Location"
"Vacant/Abandoned Building","18-03384005","12/17/2018","Front",,"Open",,"Vacant","false","false","8455","S","BURNHAM","AVE","60617","1196293.48240573","1849447.120995","7","4","46","41.74176391586","-87.55636087437","(41.74176391586, -87.556360874371)"
"Vacant/Abandoned Building","18-03380438","12/17/2018","Front",,"Open","FRONT DOOR","Vacant","false","false","8201","S","ADA","ST","60620","1168755.21772484","1850381.02920723","21","6","71","41.74496468711","-87.65723277941","(41.744964687112, -87.65723277941)"
"Vacant/Abandoned Building","18-03379703","12/17/2018","Front",,"Open","BAC","Vacant","false","true","7840","S","BENNETT","AVE","60649","1190229.94157253","1853363.51917163","8","4","43","41.75265895197","-87.57845120487","(41.752658951975, -87.57845120487)"
"Vacant/Abandoned Building","18-03382499","12/17/2018","Front",,"Open","OPEN LOT","Occupied","false","true","731","N","PULASKI","RD","60624","1149592.31191397","1904587.94002897","37","11","23","41.8941077949","-87.72604546458","(41.894107794896, -87.726045464583)"
"Vacant/Abandoned Building","18-03374995","12/16/2018","Rear",,"Boarded",,"Vacant","false","false","8530","S","CARPENTER","ST","60620","1170805.10477382","1848250.9429985","21","6","71","41.73907499704","-87.64978368621","(41.739074997042, -87.649783686208)"
"Vacant/Abandoned Building","18-03371860","12/16/2018","Front",,"Boarded",,"Vacant","false","false","6058","S","MOZART","ST","60629","1158417.21898829","1864343.72289956","16","8","66","41.78349707611","-87.69473315833","(41.783497076114, -87.694733158334)"
"Vacant/Abandoned Building","18-03373667","12/16/2018","Rear",,"Open","NORTHSIDE OF HOUSE","Vacant","false","false","6653","S","WABASH","AVE","60637","1177752.52457146","1860898.8064104","20","3","69","41.77362793737","-87.62394764491","(41.773627937367, -87.623947644911)"
"Vacant/Abandoned Building","18-03363941","12/15/2018","Front",,"Open","FRONT AND REAR","Vacant","false","false","1131","S","MOZART","ST","60612","1157527.89999065","1895040.02001058","28","11","29","41.86774955906","-87.69716037609","(41.867749559059, -87.697160376093)"
"Vacant/Abandoned Building","18-03366142","12/15/2018","Front",,"Open","DOORS/WINDOWS","Vacant","true","false","13143","S","CARONDOLET","AVE","60633","1198433.73239265","1818412.9700882","10","4","55","41.65654996473","-87.54955401873","(41.656549964729, -87.549554018732)"
"Vacant/Abandoned Building","18-03364763","12/15/2018","Front",,"Open","FRONT","Vacant","false","true","7222","S","EUCLID","AVE","60649","1190294.44408873","1857380.6101283","5","3","43","41.76368063945","-87.57808559634","(41.76368063945, -87.57808559634)"
"Vacant/Abandoned Building","18-03359220","12/14/2018","Front",,"Boarded",,"Vacant","false","false","1041","W","103RD","PL","60643","1171203.67331807","1836184.36006943","34","22","73","41.70595384802","-87.64867500964","(41.705953848025, -87.648675009641)"
"Vacant/Abandoned Building","18-03359445","12/14/2018","Front",,"Open",,"Vacant","false","true","313","W","111TH","ST","60628","1176113.18920959","1831318.67067932","34","5","49","41.69249316777","-87.63084208645","(41.692493167773, -87.630842086452)"
"Vacant/Abandoned Building","18-03359362","12/14/2018","Front",,"Boarded",,"Vacant","false","false","11137","S","ASHLAND","AVE","60643","1167487.0451952","1830768.03249619","34","22","75","41.69117083675","-87.66243956878","(41.691170836753, -87.662439568779)"
"Vacant/Abandoned Building","18-03359572","12/14/2018","Front",,"Open",,"Vacant","true","true","12312","S","LOWE","AVE","60628","1174168.41002497","1823234.89000804","34","5","53","41.67035329477","-87.63820101617","(41.670353294772, -87.638201016169)"
"Vacant/Abandoned Building","18-03359550","12/14/2018","Front",,"Boarded",,"Vacant","false","true","11011","S","HALSTED","ST","60628","1172943.85292896","1831833.09041267","34","22","49","41.69397515887","-87.64243042404","(41.693975158873, -87.642430424044)"
"Vacant/Abandoned Building","18-03361044","12/14/2018","Front",,"Boarded","REAR","Vacant","false","true","1344","S","SPRINGFIELD","AVE","60623","1150594.28011069","1893464.273621","24","10","29","41.86356370893","-87.72265621342","(41.863563708931, -87.722656213422)"
"Vacant/Abandoned Building","18-03359302","12/14/2018","Front",,"Boarded",,"Vacant","false","false","1221","W","107TH","PL","60643","1170059.72622899","1833488.33382526","34","22","75","41.69858040993","-87.65294206419","(41.698580409934, -87.652942064189)"
"Vacant/Abandoned Building","18-03361069","12/14/2018","Rear",,"Boarded","REAR","Vacant","false","true","1346","S","SPRINGFIELD","AVE","60623","1150594.68011069","1893450.773621","24","10","29","41.86352665554","-87.72265509755","(41.863526655536, -87.722655097554)"
"Vacant/Abandoned Building","18-03361423","12/14/2018","Front",,"Open","GARAGE","Vacant","false","false","500","W","103RD","PL","60628","1174791.25303002","1836263.66818945","34","22","49","41.7060924585","-87.63553521715","(41.706092458501, -87.635535217149)"
"Vacant/Abandoned Building","18-03359335","12/14/2018","Front",,"Boarded",,"Vacant","false","false","1001","W","102ND","ST","60643","1171439.32790894","1837182.86602592","34","22","73","41.70868875535","-87.64778294982","(41.708688755349, -87.647782949816)"
"Vacant/Abandoned Building","18-03359892","12/14/2018","Garage",,"Boarded",,"Vacant","false","false","2651","W","AUGUSTA","BLVD","60622","1158539.0978194","1906551.04428198","26","12","24","41.89931625206","-87.69313283112","(41.899316252056, -87.693132831124)"
"Vacant/Abandoned Building","18-03362259","12/14/2018","Front",,"Open",,"Vacant","false","true","6057","S","MOZART","ST","60629","1158417.11898829","1864350.42289956","16","8","66","41.7835154639","-87.69473334253","(41.783515463899, -87.694733342533)"
"Vacant/Abandoned Building","18-03360079","12/14/2018","Rear",,"Open","REAR","Vacant","false","true","9032","S","THROOP","ST","60620","1169245.40939052","1844875.09833183","21","22","73","41.72984504891","-87.65559551729","(41.729845048915, -87.655595517287)"
"Vacant/Abandoned Building","18-03359458","12/14/2018","Front",,"Open","ENTERING THROUGH THE FRONT AND THE GARAGE.","Vacant","false","true","5545","S","HONORE","ST","60636","1164966.15990611","1867830.87323263","15","7","67","41.7929302772","-87.67062383489","(41.792930277198, -87.670623834892)"
"Vacant/Abandoned Building","18-03359363","12/14/2018","Front",,"Open",,"Vacant","false","true","518","N","TROY","ST","60612","1155283.80007764","1903354.41499462","27","12","23","41.89061043973","-87.70517548483","(41.890610439731, -87.705175484833)"
"Vacant/Abandoned Building","18-03358253","12/14/2018","Front",,"Open","DOORS, FROMT AND REAR","Occupied","false","true","620","E","89TH","PL","60619","1181938.63938974","1845771.19942051","6","6","44","41.73202038733","-87.60906922201","(41.732020387326, -87.609069222012)"
"Vacant/Abandoned Building","18-03359591","12/14/2018","Front",,"Boarded",,"Vacant","false","true","11841","S","LAFAYETTE","AVE","60628","1178042.35540593","1826446.19659477","34","5","53","41.67907898565","-87.62392601943","(41.679078985654, -87.623926019425)"
"Vacant/Abandoned Building","18-03358497","12/14/2018","Front",,"Open",,"Vacant","false","false","3533","N","OZARK","AVE","60634","1123790.52460024","1922547.40150106","38","16","17","41.94385305803","-87.82041466734","(41.943853058031, -87.820414667337)"
